NO,허가일자,상호,설비용량(KW),설치장소,상태,사업개시일,데이터기준일자
46,2011-11-03,제주대학교 태양광 발전소,1040,제주특별자치도 제주시 제주대학로 64-29 (아라일동),사업개시,2012-05-09,2024-06-30
47,2011-12-26,제주에너지공사,415.2,제주특별자치도 제주시 구좌읍 해맞이해안로 712-3,사업개시,2013-12-13,2024-06-30
48,2012-03-30,민솔라에너지,99.84,제주특별자치도 제주시 조천읍 대흘리 110번지 61호,사업개시,2013-08-01,2024-06-30
49,2012-06-25,남제주화력 소내 태양광발전소,196,제주특별자치도 서귀포시 안덕면 화순해안로106번길 55,사업개시,2012-06-28,2024-06-30
50,2012-08-17,성산하수처리장 태양광발전소,158.08,제주특별자치도 서귀포시 성산읍 오조리 57번지 -35,사업개시,2013-07-25,2024-06-30
51,2012-08-17,도련정수장 태양광발전소,215.8,제주특별자치도 제주시 불택중길 28 (도련일동.도련정수장),사업개시,2013-09-03,2024-06-30
52,2012-08-17,월산정수장 태양광발전소,99.93,제주특별자치도 제주시 노형동 2261번지 -1,사업개시,2013-09-03,2024-06-30
53,2012-09-07,(주)더원산업 태양광발전소,499,제주특별자치도 서귀포시 성산읍 수산리 1887번지,사업개시,2017-07-05,2024-06-30
54,2012-09-27,대동태양광발전소,750,제주특별자치도 서귀포시 표선면 가시리 640번지 외5필지(1517.1524.1522.1523.1487),사업개시,2013-04-18,2024-06-30
55,2012-09-27,보타리 햇빛 태양광발전소,30,제주특별자치도 제주시 애월읍 녹근로 130,사업개시,2012-11-29,2024-06-30
56,2012-09-27,(주)한라솔라팜,950,제주특별자치도 서귀포시 표선면 가시리 640번지 외2필지(1517.1524번지),사업개시,2013-04-18,2024-06-30
57,2012-09-27,(주)구노제주솔라,330,제주특별자치도 서귀포시 성산읍 수산리 2122번지,사업개시,2013-03-11,2024-06-30
58,2012-11-02,(주)제이씨엘태양광발전소,990,제주특별자치도 제주시 구좌읍 상도리 산 280번지 1호 산288-5. 산288-6. 산299-1,사업개시,2014-07-02,2024-06-30
59,2012-11-08,다담1호 태양광 발전소,99,제주특별자치도 제주시 조천읍 신촌리 3038번지,사업개시,2013-03-05,2024-06-30
60,2012-11-08,법영1호 태양광발전소,99.06,제주특별자치도 제주시 한경면 청수리 2005번지 1호,사업개시,2019-12-24,2024-06-30
61,2012-11-16,(주)제이쏠라(한동발전소),450,제주특별자치도 제주시 구좌읍 한동리 4081번지,사업개시,2014-09-26,2024-06-30
62,2012-11-16,원선2호태양광발전소,260,제주특별자치도 서귀포시 성산읍 수산리 2241번지,사업개시,2018-12-31,2024-06-30
63,2012-12-03,베누스태양광발전소,30,제주특별자치도 제주시 애월읍 유수암평화5길 92,사업개시,2013-04-13,2024-06-30
64,2013-01-04,더케이제주 호텔(주),94.24,제주특별자치도 제주시 탑동로 66 (삼도이동),사업개시,2013-08-22,2024-06-30
65,2013-01-25,킨 태양광발전소,96.6,제주특별자치도 서귀포시 대정읍 영락리 2144번지,사업개시,2013-12-23,2024-06-30
66,2013-03-07,사랑 태양광발전소,96.8,제주특별자치도 제주시 한림읍 금악리 1011번지 1호 1012,사업개시,2014-05-09,2024-06-30
67,2013-03-07,에코플랜태양광발전소,96.8,제주특별자치도 제주시 한림읍 금악리 1009번지 1호,사업개시,2014-07-29,2024-06-30
68,2013-03-07,해마루1호태양광발전소,96.8,제주특별자치도 제주시 한림읍 금악리 1011번지 1호 1172-1,사업개시,2014-05-09,2024-06-30
69,2013-03-07,에스엠태양광발전소,96.8,제주특별자치도 제주시 한림읍 금악리 1009번지 1호,사업개시,2014-09-16,2024-06-30
70,2013-03-07,시우3호 태양광발전소,96.8,제주특별자치도 제주시 한림읍 금악리 1012번지,사업개시,2014-07-29,2024-06-30
71,2013-03-07,여명태양광발전소,96.8,제주특별자치도 제주시 한림읍 금악리 1009번지 1호,사업개시,2014-05-09,2024-06-30
