NO,허가일자,상호,설비용량(KW),설치장소,상태,사업개시일,데이터기준일자
421,2015-01-13,해오름태양광발전소,499.8,제주특별자치도 서귀포시 상예동 2276번지 2호 2277-2번지. 4106번지. 4109-1,사업개시,2016-03-23,2024-06-30
422,2015-01-13,은영태양광발전소,499.8,제주특별자치도 서귀포시 상예동 2275번지 2호 4109번지,사업개시,2016-01-23,2024-06-30
423,2015-01-13,지상상예태양광발전소,499.8,제주특별자치도 서귀포시 상예동 2275번지 1호 2276. 2277,사업개시,2016-10-14,2024-06-30
424,2015-01-13,엔에스태양광발전소,499.8,제주특별자치도 서귀포시 상예동 4106번지 1호 4109-2번지,사업개시,2016-03-23,2024-06-30
425,2015-01-13,(유)위미 태양광발전소,766.8,제주특별자치도 서귀포시 남원읍 위미리 3752-1,사업개시,2016-12-30,2024-06-30
426,2015-01-13,신광2호태양광발전소,702,제주특별자치도 서귀포시 남원읍 위미리 3762번지 1호 .3762-5번지,사업개시,2016-12-30,2024-06-30
427,2015-01-13,신광1호태양광발전소,766.8,제주특별자치도 서귀포시 남원읍 위미리 3762번지 5호,사업개시,2016-12-30,2024-06-30
428,2015-01-21,어음태양광발전소,99.9,제주특별자치도 제주시 애월읍 어음리 3796번지 .3803-1번지. 3801-2번지,사업개시,2021-01-26,2024-06-30
429,2015-04-06,시온성 태양광발전소,198,제주특별자치도 제주시 한경면 고산리 3134번지 11호,사업개시,2022-11-11,2024-06-30
430,2015-04-06,(주)자연에너지,805.86,제주특별자치도 서귀포시 하원동 71번지 2호,사업개시,2019-09-09,2024-06-30
431,2015-04-12,주식회사 어음태양광발전소,417.96,제주특별자치도 제주시 애월읍 어음리 1140번지 외 2필지(1140-1. 1143),사업개시,2017-01-26,2024-06-30
432,2015-04-12,귀덕태양광발전소1호기,90,제주특별자치도 제주시 한림읍 귀덕리 453번지 14호,사업개시,2017-12-20,2024-06-30
433,2015-04-12,용강동마을회태양광발전소 250kw,250,제주특별자치도 제주시 용강동 822번지,사업개시,2015-11-11,2024-06-30
434,2015-04-12,주식회사해찬태양광발전소,1700,제주특별자치도 서귀포시 도순동 84번지 외84-1.85.86-1.88-2.91,사업개시,2015-12-16,2024-06-30
435,2015-04-29,에이탑에너지3호태양광발전소,92.82,제주특별자치도 제주시 한림읍 금악리 2873-2,사업개시,2023-11-28,2024-06-30
436,2015-04-29,에이탑에너지2호태양광발전소,69.02,제주특별자치도 제주시 한림읍 금악리 2873-2,사업개시,2023-11-28,2024-06-30
437,2015-04-29,에이탑에너지1호태양광발전소,69.02,제주특별자치도 제주시 한림읍 금악리 2873-2,사업개시,2023-11-28,2024-06-30
438,2015-04-29,유준태양광발전,99,제주특별자치도 제주시 삼양일동 568번지 1호,사업개시,2015-09-18,2024-06-30
439,2015-05-19,(주)강산에너지 홍상기,750,제주특별자치도 제주시 회천동 237번지,사업개시,2016-02-03,2024-06-30
440,2015-05-28,신성태양광발전소,64.05,제주특별자치도 제주시 한경면 조수리 4134번지,사업개시,2015-12-19,2024-06-30
441,2015-05-28,이호동 오도마을회3호 태양광발전소,198.4,제주특별자치도 제주시 이호이동 133번지 1호 . 133-5,사업개시,2016-12-16,2024-06-30
442,2015-09-08,성수1태양광발전소,99,제주특별자치도 서귀포시 성산읍 수산리 4518번지,사업개시,2016-01-22,2024-06-30
443,2015-10-20,서회천마을회2호 태양광발전소,62.1,제주특별자치도 제주시 회천동 1648번지 1649. 1698. 1699,사업개시,2016-03-04,2024-06-30
444,2015-10-20,명도암마을회태양광발전소,150,제주특별자치도 제주시 봉개동 272번지 4호,사업개시,2016-06-09,2024-06-30
445,2015-10-20,은현태양광발전소,99.2,제주특별자치도 제주시 한림읍 월령리 1183번지 1호 1183-3,사업개시,2016-03-31,2024-06-30
446,2015-11-11,자운당태양광발전소,44,제주특별자치도 제주시 애월읍 하가리 326번지 5호,사업개시,2016-02-28,2024-06-30
447,2015-11-11,보성진송 태양광발전소,98.28,제주특별자치도 서귀포시 대정읍 보성리 1883번지 1호,사업개시,2020-01-03,2024-06-30
448,2015-11-13,SK태양광발전소,185,제주특별자치도 제주시 용담이동 737번지 6호,사업개시,2016-04-19,2024-06-30
449,2015-12-19,도원태양광발전소,98.8,제주특별자치도 서귀포시 대정읍 신도리 2549번지 1호,사업개시,2016-11-04,2024-06-30
450,2016-01-25,주식회사용권태양광발전소,2900,제주특별자치도 제주시 애월읍 어음리 3143번지 3185-2. 3187. 3182. 3179-1,사업개시,2019-04-10,2024-06-30
451,2016-01-25,주식회사은영태양광발전소,496.62,제주특별자치도 서귀포시 안덕면 상창리 1182번지 외 2필지,사업개시,2016-08-29,2024-06-30
452,2016-01-25,주식회사크레티오 태양광발전소,2036.8,제주특별자치도 제주시 구좌읍 종달리 4390번지 외 4필지,사업개시,2019-05-29,2024-06-30
453,2016-07-12,소현에너지,99.22,제주특별자치도 서귀포시 대정읍 무릉리 596번지 3호,사업개시,2020-09-23,2024-06-30
454,2016-07-26,소현에너지2호,422.28,제주특별자치도 서귀포시 대정읍 무릉리 403번지 1호,사업개시,2020-09-23,2024-06-30
455,2016-07-26,제주마을태양광발전소,83.41,제주특별자치도 서귀포시 토평동 3282번지 6호,사업개시,2017-02-07,2024-06-30
456,2016-07-26,제주종합경기장태양광발전소,484.47,제주특별자치도 제주시 오라일동 1165번지 .1111 (제주종합경기장),사업개시,2016-11-26,2024-06-30
457,2016-08-18,성보태양광,483.12,제주특별자치도 서귀포시 중문동 247번지,사업개시,2017-05-12,2024-06-30
458,2016-09-12,수망햇빛1호태양광발전소,299.2,제주특별자치도 서귀포시 남원읍 수망리 550번지,사업개시,2017-11-04,2024-06-30
459,2016-10-17,성현태양광발전소,99,제주특별자치도 제주시 한림읍 금악리 2908-1,사업개시,2019-06-17,2024-06-30
460,2016-10-28,안성태양광발전소,199.8,제주특별자치도 서귀포시 대정읍 안성리 771번지,사업개시,2017-03-04,2024-06-30
461,2016-10-28,인피니티태양광발전소,582.8,제주특별자치도 서귀포시 상효동 674번지 1호 674-2. 675. 701. 702-1. 702-2. 702-3. 702-4. 702-5. 702-6,사업개시,2020-11-06,2024-06-30
462,2016-11-24,김녕 태양광발전소,147,제주특별자치도 제주시 구좌읍 김녕리 855번지,사업개시,2018-11-07,2024-06-30
463,2016-11-24,봉개 태양광발전소,161,제주특별자치도 제주시 봉개동 2244번지,사업개시,2018-11-07,2024-06-30
464,2016-11-24,낙천 태양광발전소,129.36,제주특별자치도 제주시 한경면 낙천리 1090번지 1호 1081,사업개시,2018-11-07,2024-06-30
465,2016-11-24,상가 태양광발전소,148.48,제주특별자치도 제주시 애월읍 상가리 678번지 675-2. 676-1,사업개시,2020-03-31,2024-06-30
466,2016-11-24,유수암 태양광발전소,767.27,제주특별자치도 제주시 애월읍 유수암리 469번지 1호,사업개시,2018-11-07,2024-06-30
467,2016-11-25,신광태양광발전소,98.8,제주특별자치도 제주시 한경면 저지리 2587번지 1호,사업개시,2017-07-25,2024-06-30
468,2016-11-25,인성태양광발전소,98.8,제주특별자치도 제주시 한경면 저지리 2587번지 1호,사업개시,2017-07-25,2024-06-30
469,2016-11-25,광명태양광발전소,98.8,제주특별자치도 제주시 한경면 저지리 2587번지 1호,사업개시,2017-07-25,2024-06-30
470,2016-11-25,광령 태양광발전소,499.5,제주특별자치도 제주시 애월읍 광령리 594-3,사업개시,2019-12-18,2024-06-30
471,2016-11-25,신산2호 태양광발전소,99.16,제주특별자치도 서귀포시 남원읍 신흥리 2386-48,사업개시,2020-01-09,2024-06-30
472,2016-11-25,신산1호태양광발전소,98.8,제주특별자치도 서귀포시 남원읍 신흥리 2386번지 15호,사업개시,2017-10-13,2024-06-30
473,2016-11-25,유)제주해냄태양광발전소,993.6,제주특별자치도 서귀포시 표선면 성읍리 336번지,사업개시,2020-02-07,2024-06-30
474,2016-11-25,정성태양광발전소,415,제주특별자치도 서귀포시 남원읍 수망리 968번지 968-2. 966-4,사업개시,2021-02-05,2024-06-30
475,2016-11-25,팡돌태양광발전소,297.6,제주특별자치도 제주시 해안동 1370번지,사업개시,2017-07-13,2024-06-30
476,2016-11-25,쉬영목태양광발전소,98.8,제주특별자치도 제주시 구좌읍 행원리 1017번지,사업개시,2017-12-29,2024-06-30
477,2016-11-25,해빛태양광발전소,294.8,제주특별자치도 제주시 애월읍 하가리 670번지 1호 97,사업개시,2017-06-28,2024-06-30
478,2016-12-08,한동2호태양광발전소,98.8,제주특별자치도 제주시 구좌읍 한동리 3819번지 1호,사업개시,2017-09-16,2024-06-30
479,2016-12-08,한동1호 태양광발전소,98.8,제주특별자치도 제주시 구좌읍 한동리 3819번지 1호,사업개시,2017-12-29,2024-06-30
480,2016-12-08,세화대명태양광발전소,99.9,제주특별자치도 제주시 구좌읍 세화리 328번지,사업개시,2021-04-18,2024-06-30
481,2016-12-08,햇볕1호 태양광발전소,98.8,제주특별자치도 제주시 한경면 용수리 3799번지,사업개시,2018-04-24,2024-06-30
482,2017-01-03,(주)라이터스 태양광발전소,299.88,제주특별자치도 서귀포시 성산읍 삼달리 1778번지 2호,사업개시,2018-01-23,2024-06-30
483,2017-01-03,한일 태양광발전소,250.11,제주특별자치도 서귀포시 성산읍 수산리 2271번지,사업개시,2017-11-24,2024-06-30
484,2017-01-03,나민영태양광발전소,99,제주특별자치도 서귀포시 대정읍 영락리 176번지,사업개시,2019-06-06,2024-06-30
485,2017-01-04,승모태양광발전소,98.8,제주특별자치도 제주시 한림읍 상명리 423번지,사업개시,2017-09-13,2024-06-30
486,2017-01-04,승연태양광발전소,98.8,제주특별자치도 제주시 한림읍 상명리 423번지,사업개시,2017-09-13,2024-06-30
487,2017-01-04,수월봉태양광발전소,98.8,제주특별자치도 제주시 한경면 고산리 3702번지 3호,사업개시,2017-08-19,2024-06-30
488,2017-01-04,자연애2호태양광발전소,98.8,제주특별자치도 제주시 한림읍 상명리 213번지 233,사업개시,2017-09-14,2024-06-30
489,2017-01-04,자연애1호태양발전소,98.8,제주특별자치도 제주시 한림읍 상명리 231번지 233,사업개시,2017-09-14,2024-06-30
490,2017-01-04,현준태양광발전소,99.2,제주특별자치도 제주시 한경면 조수리 2040번지 2호 2040-3,사업개시,2017-06-02,2024-06-30
491,2017-01-31,터와울태양광발전소,99.16,제주특별자치도 서귀포시 표선면 가시리 302번지,사업개시,2017-10-25,2024-06-30
492,2017-01-31,위미솔라발전소,994.95,제주특별자치도 서귀포시 남원읍 위미리 3727번지 2380,사업개시,2018-03-29,2024-06-30
493,2017-01-31,세화태양광발전소 ※법인명: 종훈쏠라(유),299.2,제주특별자치도 서귀포시 표선면 세화리 54번지 56,사업개시,2017-12-29,2024-06-30
494,2017-01-31,주식회사 라제스 태양광,704.32,제주특별자치도 제주시 구좌읍 종달리 4385번지 1호 4387,사업개시,2018-10-10,2024-06-30
495,2017-01-31,금한1호태양광발전소,99,제주특별자치도 제주시 한림읍 금악리 3306번지 3307,사업개시,2018-03-22,2024-06-30
496,2017-02-09,정율1호태양광발전소,304.2,제주특별자치도 서귀포시 성산읍 수산리 4360번지,사업개시,2018-04-05,2024-06-30
497,2017-02-09,해찬1호태양광발전소,98.8,제주특별자치도 서귀포시 표선면 하천리 2591번지 1호,사업개시,2017-07-26,2024-06-30
498,2017-02-09,예진태양광발전소,494.46,제주특별자치도 서귀포시 안덕면 상창리 691번지,사업개시,2017-07-13,2024-06-30
499,2017-02-09,경수태양광발전소,99.2,제주특별자치도 서귀포시 남원읍 위미리 3965번지 1호,사업개시,2017-05-25,2024-06-30
500,2017-02-09,더썬태양광발전소,223.2,제주특별자치도 제주시 한경면 조수리 3712번지 6호,사업개시,2021-03-11,2024-06-30
501,2017-02-09,운수태양광발전소,299.15,제주특별자치도 제주시 구좌읍 상도리 1272번지 18호,사업개시,2017-12-07,2024-06-30
502,2017-02-09,금능2호태양광발전소,496,제주특별자치도 제주시 한림읍 금능리 1번지 1호 3,사업개시,2017-10-19,2024-06-30
503,2017-02-09,금능1호태양광발전소,496,제주특별자치도 제주시 한림읍 금능리 1번지 1호 2. 3,사업개시,2017-10-19,2024-06-30
504,2017-02-09,승영태양광발전소,59.52,제주특별자치도 제주시 애월읍 유수암리 488번지 488-1. 486-3,사업개시,2018-10-25,2024-06-30
505,2017-02-09,지용태양광발전소,178.56,제주특별자치도 제주시 애월읍 유수암리 3046번지 1호,사업개시,2018-09-04,2024-06-30
506,2017-02-09,윤서태양광발전소,296.4,제주특별자치도 제주시 회천동 72번지,사업개시,2017-09-06,2024-06-30
507,2017-02-09,선샤인 태양광발전소,98.8,제주특별자치도 제주시 한림읍 상명리 1072번지,사업개시,2020-11-24,2024-06-30
508,2017-03-21,유진태양광발전소,99.28,제주특별자치도 서귀포시 성산읍 신산리 1842번지,사업개시,2017-07-26,2024-06-30
509,2017-03-21,MC태양광발전소,99.86,제주특별자치도 서귀포시 중문동 1334번지,사업개시,2017-08-03,2024-06-30
510,2017-03-21,다담3호 태양광발전소,99.06,제주특별자치도 제주시 회천동 835-3,사업개시,2019-12-01,2024-06-30
511,2017-04-05,유수암태양광발전소,277.44,제주특별자치도 제주시 애월읍 유수암리 812-1,사업개시,2018-02-03,2024-06-30
512,2017-04-05,대림1호 태양광발전소,99.28,제주특별자치도 제주시 한림읍 대림리 817번지 2호 819,사업개시,2017-09-13,2024-06-30
513,2017-04-05,송당리태양광발전소1호,60.3,제주특별자치도 제주시 구좌읍 송당리 1472번지 2호 1475,사업개시,2017-06-20,2024-06-30
514,2017-04-05,kepco-17-1-신성여중 태양광발전소,99.2,제주특별자치도 제주시 아봉로 174-5 (영평동),사업개시,2017-09-25,2024-06-30
515,2017-04-05,율희태양광발전소,99.96,제주특별자치도 제주시 애월읍 어음리 3823번지,사업개시,2021-05-24,2024-06-30
516,2017-04-12,해온태양광발전소,356.4,제주특별자치도 서귀포시 토평동 2648번지 2648-1,사업개시,2018-01-03,2024-06-30
517,2017-04-12,산하태양광발전소,99,제주특별자치도 제주시 한림읍 금악리 3309번지,사업개시,2019-01-31,2024-06-30
518,2017-04-12,통일태양광발전소,99,제주특별자치도 제주시 한림읍 금악리 3306번지 3307. 3309,사업개시,2018-03-22,2024-06-30
519,2017-04-20,세정태양광발전소,99.28,제주특별자치도 서귀포시 대정읍 무릉리 3653번지 3호,사업개시,2017-11-04,2024-06-30
520,2017-04-20,세화2 태양광발전소,99.28,제주특별자치도 서귀포시 표선면 세화리 54-1,사업개시,2021-01-05,2024-06-30
521,2017-04-20,정진햇빛발전주식회사,494.6,제주특별자치도 제주시 봉개동 792번지 1호 792-3. 842. 843-1,사업개시,2018-01-25,2024-06-30
522,2017-04-21,신흥태양광발전소,99,제주특별자치도 서귀포시 남원읍 신흥리 1377번지 15호,사업개시,2018-01-04,2024-06-30
523,2017-04-21,은광태양광발전소,99.28,제주특별자치도 서귀포시 대정읍 신도리 628번지,사업개시,2017-09-15,2024-06-30
524,2017-04-21,주식회사 연세발전소,997.92,제주특별자치도 서귀포시 안덕면 상천리 750번지 751,사업개시,2020-07-14,2024-06-30
525,2017-04-21,주식회사 홍익홍성발전소,900.9,제주특별자치도 서귀포시 안덕면 상천리 750번지 751,사업개시,2020-07-14,2024-06-30
526,2017-04-21,위미2리제2태양광발전소,994.84,제주특별자치도 서귀포시 남원읍 위미리 3696번지 2418-1,사업개시,2019-01-17,2024-06-30
527,2017-04-21,함케2태양광발전소,98.75,제주특별자치도 제주시 한림읍 금악리 1376번지,사업개시,2017-11-25,2024-06-30
528,2017-04-21,함케1태양광발전소,98.75,제주특별자치도 제주시 한림읍 금악리 1376번지,사업개시,2017-11-25,2024-06-30
529,2017-04-21,금오름태양광발전소,495,제주특별자치도 제주시 한림읍 금악리 3178번지 .3180.3181.3181-1.3184-1.3190-8,사업개시,2019-01-31,2024-06-30
530,2017-04-26,남원위미태양광발전소,998.4,제주특별자치도 서귀포시 남원읍 위미리 2362번지,사업개시,2022-03-04,2024-06-30
531,2017-04-26,수경태양광발전소,180.2,제주특별자치도 서귀포시 대정읍 무릉리 2290번지 3호 2290-12,사업개시,2017-12-29,2024-06-30
532,2017-05-08,제주감귤58호태양광발전소,496.64,제주특별자치도 서귀포시 대정읍 신평리 326번지,사업개시,2018-11-26,2024-06-30
533,2017-05-08,제주감귤44호 태양광발전소,780.85,제주특별자치도 서귀포시 대정읍 안성리 818번지,사업개시,2018-11-07,2024-06-30
534,2017-05-08,제주감귤97호 태양광발전소,252,제주특별자치도 서귀포시 남원읍 하례리 991번지 992-1,사업개시,2018-11-07,2024-06-30
535,2017-05-08,제주감귤95호 태양광발전소,161,제주특별자치도 서귀포시 남원읍 하례리 1005번지,사업개시,2018-11-07,2024-06-30
536,2017-05-08,제주감귤72호 태양광발전소,637,제주특별자치도 서귀포시 남원읍 수망리 408번지 .408-1번지,사업개시,2018-11-07,2024-06-30
537,2017-05-08,제주감귤 64호 태양광발전소,350,제주특별자치도 서귀포시 성산읍 수산리 2013번지,사업개시,2019-04-17,2024-06-30
538,2017-05-08,제주감귤22호 태양광발전소,633.36,제주특별자치도 서귀포시 대정읍 신도리 968번지 12호 968-13. 968-14,사업개시,2018-11-07,2024-06-30
539,2017-05-08,제주감귤13호태양광발전소,154,제주특별자치도 서귀포시 토평동 133번지 1호,사업개시,2018-11-07,2024-06-30
540,2017-05-08,제주감귤106호 태양광발전소,336,제주특별자치도 제주시 애월읍 납읍리 1208번지,사업개시,2020-04-08,2024-06-30
541,2017-05-08,제주감귤83호 태양광발전소,224,제주특별자치도 제주시 한림읍 명월리 1543번지 1호,사업개시,2018-11-07,2024-06-30
542,2017-05-08,제주감귤71호 태양광발전소,250.88,제주특별자치도 제주시 한림읍 금악리 1375번지 1377,사업개시,2018-11-07,2024-06-30
543,2017-05-08,제주감귤60호태양광발전소,203.7,제주특별자치도 제주시 도련이동 394번지,사업개시,2018-11-07,2024-06-30
544,2017-05-08,제주감귤53호 태양광발전소,441,제주특별자치도 제주시 구좌읍 행원리 2173번지 2819,사업개시,2018-11-07,2024-06-30
545,2017-05-08,제주감귤34호 태양광발전소,235.52,제주특별자치도 제주시 구좌읍 상도리 994번지,사업개시,2018-11-07,2024-06-30
546,2017-05-08,제주감귤5호 태양광발전소,441.35,제주특별자치도 제주시 조천읍 함덕리 1965번지 1호 1967-1,사업개시,2018-11-07,2024-06-30
547,2017-05-19,태성1호태양광발전소,99.28,제주특별자치도 제주시 한림읍 금악리 1446번지,사업개시,2018-03-14,2024-06-30
548,2017-05-19,구명물3호태양광발전소,99.36,제주특별자치도 제주시 한림읍 금악리 1460번지,사업개시,2019-04-26,2024-06-30
549,2017-05-19,구명물2호태양광발전소,82.8,제주특별자치도 제주시 한림읍 금악리 1460-1,사업개시,2019-04-26,2024-06-30
550,2017-05-19,구명물1호태양광발전소,99.28,제주특별자치도 제주시 한림읍 금악리 1460번지,사업개시,2018-03-14,2024-06-30
551,2017-05-19,금오름1호 태양광발전소,99.28,제주특별자치도 제주시 한림읍 금악리 1222번지 2호 1247,사업개시,2018-03-14,2024-06-30
552,2017-05-19,365일에너지태양광발전소,471.2,제주특별자치도 제주시 한경면 판포리 1746번지 1748-1. 1753. 1754. 1757. 1929-1,사업개시,2018-10-25,2024-06-30
553,2017-05-26,건용에너지,99,제주특별자치도 서귀포시 성산읍 수산리 3907번지 1호,사업개시,2020-07-15,2024-06-30
554,2017-05-26,건영에너지 태양광발전소,99,제주특별자치도 서귀포시 성산읍 수산리 3907-4,사업개시,2020-07-15,2024-06-30
555,2017-05-26,건미에너지,99,제주특별자치도 서귀포시 성산읍 수산리 3907번지 1호,사업개시,2020-07-15,2024-06-30
556,2017-05-26,올레햇빛발전소,19.72,제주특별자치도 서귀포시 서귀동 316번지 1호,사업개시,2017-09-04,2024-06-30
557,2017-05-26,제이제이태양광발전소,200,제주특별자치도 제주시 한림읍 금악리 1101번지,사업개시,2018-04-20,2024-06-30
558,2017-05-26,경림1호태양광발전소,997.92,제주특별자치도 제주시 한경면 판포리 산 11번지 산11-5. 774. 775,사업개시,2019-05-02,2024-06-30
559,2017-06-21,(주)승민태양광,297.6,제주특별자치도 서귀포시 표선면 가시리 산 68번지 3호,사업개시,2017-07-26,2024-06-30
560,2017-06-21,에스에이치이엔씨 10호 태양광발전소,993.6,제주특별자치도 서귀포시 안덕면 동광리 693번지 .694번지.695번지.702번지,사업개시,2019-08-22,2024-06-30
561,2017-06-21,신흥리태양광발전소,996.48,제주특별자치도 서귀포시 남원읍 신흥리 2033번지,사업개시,2018-05-03,2024-06-30
562,2017-06-21,금성태양광발전소2호,61.2,제주특별자치도 제주시 애월읍 장전리 290번지 1호,사업개시,2017-11-15,2024-06-30
563,2017-06-21,(주)제주감귤태양광192호,364,제주특별자치도 제주시 애월읍 상가리 489번지 1호,사업개시,2020-06-26,2024-06-30
564,2017-06-21,해찬태양광발전소,150,제주특별자치도 제주시 구좌읍 평대리 1500번지 1호,사업개시,2017-10-20,2024-06-30
565,2017-06-21,태성2호 태양광발전소,250.92,제주특별자치도 제주시 한림읍 금악리 1219번지,사업개시,2018-03-14,2024-06-30
566,2017-06-21,정희2호태양광발전소,99.16,제주특별자치도 제주시 한림읍 상명리 1519번지,사업개시,2020-05-25,2024-06-30
567,2017-06-21,정희1호 태양광발전소,99.06,제주특별자치도 제주시 한림읍 상명리 1519-1,사업개시,2021-01-04,2024-06-30
568,2017-06-21,송당태양광발전소,999.9,제주특별자치도 제주시 구좌읍 송당리 2074번지,사업개시,2019-10-18,2024-06-30
569,2017-07-11,종현2 태양광발전소,99,제주특별자치도 제주시 한림읍 금악리 2209번지 1호,사업개시,2021-01-26,2024-06-30
570,2017-07-11,윤서4태양광발전소,97.2,제주특별자치도 제주시 회천동 72번지 4호,사업개시,2018-03-22,2024-06-30
571,2017-07-11,윤서3태양광발전소,97.2,제주특별자치도 제주시 회천동 72번지 4호,사업개시,2018-03-22,2024-06-30
572,2017-07-11,윤서2 태양광발전소,97.2,제주특별자치도 제주시 회천동 72번지 4호,사업개시,2018-03-22,2024-06-30
573,2017-07-11,상명새마을회태양광발전소,99.28,제주특별자치도 제주시 한림읍 금악리 산 67번지 3호,사업개시,2018-12-03,2024-06-30
574,2017-07-11,조은태양광발전소,99,제주특별자치도 제주시 한경면 조수리 1016번지,사업개시,2019-04-09,2024-06-30
575,2017-07-11,정성태양광발전소,99,제주특별자치도 제주시 한경면 조수리 1016번지,사업개시,2019-04-12,2024-06-30
576,2017-07-11,지앤비1호태양광발전소,246.96,제주특별자치도 제주시 조천읍 선흘리 4049번지,사업개시,2018-05-25,2024-06-30
577,2017-07-27,경원에너지,345.6,제주특별자치도 제주시 구좌읍 상도리 산 80번지 2호 산82,사업개시,2018-07-21,2024-06-30
578,2017-07-27,제주용강1호태양광발전소,427.68,제주특별자치도 제주시 용강동 52번지,사업개시,2019-06-12,2024-06-30
579,2017-07-27,봉개동주민대책위원회1호 태양광발전소,2002,제주특별자치도 제주시 회천동 294번지 22호,사업개시,2018-10-24,2024-06-30
580,2017-07-27,JCG에너지3호 태양광발전소,199.98,제주특별자치도 서귀포시 상예동 4181번지,사업개시,2020-01-10,2024-06-30
581,2017-07-27,JCG에너지2호 태양광발전소,199.98,제주특별자치도 제주시 한경면 청수리 983번지 7호 2725-6,사업개시,2018-10-24,2024-06-30
582,2017-07-27,JCG에너지1호태양광발전소,399.84,제주특별자치도 제주시 한경면 청수리 988번지,사업개시,2018-10-24,2024-06-30
583,2017-08-10,영동태양광발전소,199.68,제주특별자치도 서귀포시 성산읍 난산리 688번지 1호,사업개시,2018-01-31,2024-06-30
584,2017-08-10,난산태양광발전소,97.28,제주특별자치도 서귀포시 성산읍 난산리 688번지 1호,사업개시,2018-01-31,2024-06-30
585,2017-08-10,대명솔라1호에너지,496.4,제주특별자치도 서귀포시 표선면 가시리 771번지 1,사업개시,2020-09-29,2024-06-30
586,2017-08-10,영진 태양광발전소,880.38,제주특별자치도 서귀포시 강정동 1760번지 .1762-2번지,사업개시,2018-08-31,2024-06-30
587,2017-08-10,기성2호태양광발전소,98.82,제주특별자치도 제주시 애월읍 고성리 산 18번지,사업개시,2019-12-19,2024-06-30
588,2017-08-10,기성1호태양광발전소,98.82,제주특별자치도 제주시 애월읍 고성리 산 18번지,사업개시,2018-12-19,2024-06-30
589,2017-08-10,창금3호태양광발전소,99.28,제주특별자치도 제주시 조천읍 함덕리 340번지 3호 588,사업개시,2018-03-14,2024-06-30
590,2017-08-10,창금2호태양광발전소,99.16,제주특별자치도 제주시 조천읍 함덕리 588-1 외340-6,사업개시,2019-08-20,2024-06-30
591,2017-08-10,창금1호태양광발전소,99.16,제주특별자치도 제주시 조천읍 함덕리 340-8 외588-2,사업개시,2019-12-01,2024-06-30
592,2017-08-10,진숙태양광발전소,200,제주특별자치도 제주시 한림읍 금악리 2436번지 1호 2436-2,사업개시,2019-01-23,2024-06-30
593,2017-08-12,월림리 햇빛발전소,99.2,제주특별자치도 제주시 한림읍 금능리 332번지 4호 332-6,사업개시,2018-05-10,2024-06-30
594,2017-08-12,한라태양광발전소,399.84,제주특별자치도 제주시 한경면 두모리 933번지 1호 6516,사업개시,2018-02-27,2024-06-30
595,2017-08-12,금운2태양광발전소,95.85,제주특별자치도 제주시 애월읍 봉성리 1720번지,사업개시,2018-05-22,2024-06-30
596,2017-08-12,금운1태양광발전소,95.85,제주특별자치도 제주시 애월읍 봉성리 1720번지,사업개시,2019-05-26,2024-06-30
597,2017-09-01,가산2태양광발전소,895.05,제주특별자치도 서귀포시 남원읍 신흥리 2173번지,사업개시,2019-01-21,2024-06-30
598,2017-09-01,하와이에너지,913.44,제주특별자치도 서귀포시 성산읍 수산리 4550번지,사업개시,2021-12-21,2024-06-30
599,2017-09-01,K1태양광발전소,99.28,제주특별자치도 서귀포시 표선면 토산리 1635-9,사업개시,2018-03-28,2024-06-30
600,2017-09-01,웅태양광발전소,99.28,제주특별자치도 서귀포시 표선면 토산리 1635-10,사업개시,2018-03-28,2024-06-30
601,2017-09-01,미주1호태양광반전소,99.28,제주특별자치도 제주시 한림읍 명월리 76-2,사업개시,2018-12-17,2024-06-30
602,2017-09-01,송당리태양광발전소,996.93,제주특별자치도 제주시 구좌읍 송당리 2455번지 1호,사업개시,2019-12-03,2024-06-30
603,2017-09-01,명도햇빛발전소,494.6,제주특별자치도 제주시 봉개동 842번지 843-1,사업개시,2018-01-25,2024-06-30
604,2017-09-01,회천태양광발전소,244.95,제주특별자치도 제주시 회천동 69번지,사업개시,2020-09-29,2024-06-30
605,2017-09-01,뮤즈태양광발전소,498.48,제주특별자치도 제주시 조천읍 대흘리 1262번지,사업개시,2018-04-06,2024-06-30
606,2017-09-01,(주)해운광명에너지,409.6,제주특별자치도 제주시 한림읍 상명리 133번지 145-3,사업개시,2020-08-28,2024-06-30
607,2017-09-19,혜진2호태양광발전소,99.96,제주특별자치도 서귀포시 색달동 1204번지 1호,사업개시,2018-04-05,2024-06-30
608,2017-09-19,혜진1호태양광발전소,99.96,제주특별자치도 서귀포시 색달동 1204번지 1호,사업개시,2018-04-05,2024-06-30
609,2017-09-19,다이알월드1호태양광발전소,198.45,제주특별자치도 제주시 구좌읍 종달리 4792번지,사업개시,2021-06-01,2024-06-30
610,2017-09-19,강정태양광발전소,99.4,제주특별자치도 제주시 한림읍 금악리 1774번지,사업개시,2018-03-22,2024-06-30
611,2017-09-19,조운2호 태양광발전소,99.36,제주특별자치도 제주시 구좌읍 평대리 899-7,사업개시,2019-04-26,2024-06-30
612,2017-09-19,조운1호 태양광발전소,99.28,제주특별자치도 제주시 구좌읍 평대리 888번지 899-1,사업개시,2018-04-13,2024-06-30
613,2017-09-29,영화에너지 2호,99.84,제주특별자치도 서귀포시 표선면 가시리 2-19,사업개시,2018-11-29,2024-06-30
